A7RFT2	TRINITY_DN167020_c0_g1_i1.p1	A7RFT2	CD123_NEMVE	reviewed	Cell division cycle protein 123 homolog	cdc123 v1g233898	329	cell cycle [GO:0007049]; cell division [GO:0051301]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; cell cycle [GO:0007049]; cell division [GO:0051301]		GO:0005737; GO:0007049; GO:0051301	v1g233898	
B8UU59	TRINITY_DN189310_c3_g1_i1.p1	B8UU59	PK1L_ACRMI	reviewed	Polycystic kidney disease 1-related protein (Fragment)		3029	kidney development [GO:0001822]	integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]; kidney development [GO:0001822]		GO:0001822; GO:0016021		
B8V7Q1	TRINITY_DN163002_c1_g1_i2.p1	B8V7Q1	PCDL_ACRMI	reviewed	Protocadherin-like protein		4467	homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]	calcium ion binding [GO:0005509]	GO:0005509; GO:0005886; GO:0007156; GO:0016021		
B8V7Q1	TRINITY_DN191018_c2_g2_i2.p1	B8V7Q1	PCDL_ACRMI	reviewed	Protocadherin-like protein		4467	homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]	calcium ion binding [GO:0005509]	GO:0005509; GO:0005886; GO:0007156; GO:0016021		
B8VIV4	TRINITY_DN172215_c8_g2_i6.p1	B8VIV4	CPP2_ACRMI	reviewed	CUB and peptidase domain-containing protein 2 (Fragment)		389		extracellular region [GO:0005576]	extracellular region [GO:0005576]; serine-type endopeptidase activity [GO:0004252]	serine-type endopeptidase activity [GO:0004252]	GO:0004252; GO:0005576		
B8VIW9	TRINITY_DN187291_c5_g2_i3.p1	B8VIW9	FP_ACRMI	reviewed	Fibronectin type III domain-containing protein (Neuroglian-like protein)		1280		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]		GO:0016021		B8VIW9
B8VIW9	TRINITY_DN197729_c2_g2_i3.p1	B8VIW9	FP_ACRMI	reviewed	Fibronectin type III domain-containing protein (Neuroglian-like protein)		1280		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]		GO:0016021		B8VIW9
G8HTB6	TRINITY_DN196390_c4_g1_i2.p1	G8HTB6	ZPP_ACRMI	reviewed	ZP domain-containing protein		414		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]		GO:0016021		
P29145	TRINITY_DN177632_c1_g1_i4.p1	P29145	NECB_HYDVU	reviewed	PC3-like endoprotease variant B (EC 3.4.21.-) (SPC3)		710			serine-type endopeptidase activity [GO:0004252]	serine-type endopeptidase activity [GO:0004252]	GO:0004252		
P29145	TRINITY_DN183560_c0_g1_i1.p1	P29145	NECB_HYDVU	reviewed	PC3-like endoprotease variant B (EC 3.4.21.-) (SPC3)		710			serine-type endopeptidase activity [GO:0004252]	serine-type endopeptidase activity [GO:0004252]	GO:0004252		
P29145	TRINITY_DN188833_c4_g1_i7.p1	P29145	NECB_HYDVU	reviewed	PC3-like endoprotease variant B (EC 3.4.21.-) (SPC3)		710			serine-type endopeptidase activity [GO:0004252]	serine-type endopeptidase activity [GO:0004252]	GO:0004252		
P29145	TRINITY_DN191472_c1_g2_i3.p1	P29145	NECB_HYDVU	reviewed	PC3-like endoprotease variant B (EC 3.4.21.-) (SPC3)		710			serine-type endopeptidase activity [GO:0004252]	serine-type endopeptidase activity [GO:0004252]	GO:0004252		
P29145	TRINITY_DN191472_c1_g2_i5.p1	P29145	NECB_HYDVU	reviewed	PC3-like endoprotease variant B (EC 3.4.21.-) (SPC3)		710			serine-type endopeptidase activity [GO:0004252]	serine-type endopeptidase activity [GO:0004252]	GO:0004252		
P29145	TRINITY_DN197499_c3_g1_i5.p1	P29145	NECB_HYDVU	reviewed	PC3-like endoprotease variant B (EC 3.4.21.-) (SPC3)		710			serine-type endopeptidase activity [GO:0004252]	serine-type endopeptidase activity [GO:0004252]	GO:0004252		
P38976	TRINITY_DN181253_c0_g1_i3.p1	P38976	RAS2_HYDVU	reviewed	Ras-like protein RAS2	RAS2	192	signal transduction [GO:0007165]	plasma membrane [GO:0005886]	plasma membrane [GO:0005886]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; signal transduction [GO:0007165]	GTPase activity [GO:0003924]; GTP binding [GO:0005525]	GO:0003924; GO:0005525; GO:0005886; GO:0007165		
P38976	TRINITY_DN191121_c1_g3_i2.p1	P38976	RAS2_HYDVU	reviewed	Ras-like protein RAS2	RAS2	192	signal transduction [GO:0007165]	plasma membrane [GO:0005886]	plasma membrane [GO:0005886]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; signal transduction [GO:0007165]	GTPase activity [GO:0003924]; GTP binding [GO:0005525]	GO:0003924; GO:0005525; GO:0005886; GO:0007165		
P38976	TRINITY_DN197815_c5_g1_i3.p1	P38976	RAS2_HYDVU	reviewed	Ras-like protein RAS2	RAS2	192	signal transduction [GO:0007165]	plasma membrane [GO:0005886]	plasma membrane [GO:0005886]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; signal transduction [GO:0007165]	GTPase activity [GO:0003924]; GTP binding [GO:0005525]	GO:0003924; GO:0005525; GO:0005886; GO:0007165		
P41114	TRINITY_DN161045_c0_g1_i1.p1	P41114	TPM1_PODCA	reviewed	Tropomyosin-1	TPM1	242							
P51539	TRINITY_DN171327_c3_g1_i8.p1	P51539	RAS1_HYDVU	reviewed	Ras-like protein RAS1	RAS1	194	signal transduction [GO:0007165]	plasma membrane [GO:0005886]	plasma membrane [GO:0005886]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; signal transduction [GO:0007165]	GTPase activity [GO:0003924]; GTP binding [GO:0005525]	GO:0003924; GO:0005525; GO:0005886; GO:0007165		
P51984	TRINITY_DN189706_c3_g1_i1.p1	P51984	CREB_HYDVD	reviewed	Cyclic AMP-responsive element-binding protein (cAMP-responsive element-binding protein) (cAMP response element-binding protein)	CREB	249		nucleus [GO:0005634]	nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	GO:0003677; GO:0003700; GO:0005634		
P53356	TRINITY_DN189620_c0_g2_i8.p1	P53356	HTK16_HYDVU	reviewed	Tyrosine-protein kinase HTK16 (EC 2.7.10.2)	HTK16	757			ATP binding [GO:0005524]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]	ATP binding [GO:0005524]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]	GO:0004715; GO:0005524		P53356
P53356	TRINITY_DN196948_c3_g1_i1.p1	P53356	HTK16_HYDVU	reviewed	Tyrosine-protein kinase HTK16 (EC 2.7.10.2)	HTK16	757			ATP binding [GO:0005524]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]	ATP binding [GO:0005524]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]	GO:0004715; GO:0005524		P53356
P53356	TRINITY_DN197221_c1_g1_i2.p1	P53356	HTK16_HYDVU	reviewed	Tyrosine-protein kinase HTK16 (EC 2.7.10.2)	HTK16	757			ATP binding [GO:0005524]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]	ATP binding [GO:0005524]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]	GO:0004715; GO:0005524		P53356
P62184	TRINITY_DN182388_c0_g4_i6.p1	P62184	CALM_RENRE	reviewed	Calmodulin (CaM)		149			calcium ion binding [GO:0005509]	calcium ion binding [GO:0005509]	GO:0005509		
Q25189	TRINITY_DN196339_c2_g2_i6.p1	Q25189	GBLP_HYDVU	reviewed	Guanine nucleotide-binding protein subunit beta-like protein (Receptor of activated protein kinase C) (RACK)	RACK1	317		ribosome [GO:0005840]	ribosome [GO:0005840]		GO:0005840		
Q86PM4	TRINITY_DN190837_c8_g1_i13.p1	Q86PM4	FGFR_HYDVU	reviewed	Fibroblast growth factor receptor (EC 2.7.10.1) (Protein kringelchen)	FGFR	816	positive regulation of cell population proliferation [GO:0008284]	integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; fibroblast growth factor-activated receptor activity [GO:0005007]; positive regulation of cell population proliferation [GO:0008284]	ATP binding [GO:0005524]; fibroblast growth factor-activated receptor activity [GO:0005007]	GO:0005007; GO:0005524; GO:0008284; GO:0016021		
